VCD info: dumpfile test.vcd opened for output.
                   0Starting simulation
                   0testSW = 0000000000, testKEY = 00, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111111
                2440testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
                2450testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
                2460testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
                2470testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2480testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2490testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2500testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2510testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2520testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2530testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2540testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10110000
                2550testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10110000
